Ville,Type,Prix,Prix_annonce_m2,Prix_reference_m2,Décote_%,Rendement_brut,Label,Url
toulouse,Maison,544000.0,3464.97,4077.0,15.01,0.044,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/maison/6pieces/ag315077-508622750
toulouse,Maison,930000.0,2447.37,4077.0,39.97,0.0623,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/11pieces/ag311656-508344017
toulouse,Maison,394999.0,2468.74,4077.0,39.45,0.0617,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/6pieces/hektor-110_5_dhabitat-admin-40023
toulouse,Appartement,156600.0,2441.53,3507.0,30.38,0.0742,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/twimmo-2119082
toulouse,Appartement,95000.0,2317.07,3507.0,33.93,0.0782,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/hektor-kapimmo32600-521
toulouse,Appartement,186750.0,2384.75,3507.0,32.0,0.076,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/netty-company40779suy-appt-5091
toulouse,Maison,423280.0,1693.12,4077.0,58.47,0.09,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/8pieces/ag311656-506711180
toulouse,Appartement,155000.0,2325.58,3507.0,33.69,0.0779,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-1979428
toulouse,Appartement,211000.0,2851.35,3507.0,18.7,0.0635,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/ag315077-504000632
toulouse,Maison,756000.0,3436.36,4077.0,15.71,0.0443,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/maison/9pieces/ladresse-1-adresse-14229490
toulouse,Appartement,171000.0,2514.71,3507.0,28.29,0.0721,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/cabinet-bedin-6-BIC68-276
toulouse,Maison,215000.0,2443.18,4077.0,40.07,0.0624,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/safti-1-1564032
toulouse,Appartement,196000.0,2840.58,3507.0,19.0,0.0638,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-1955008
toulouse,Appartement,119900.0,2485.49,3507.0,29.13,0.0729,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/citya-immobilier-00178-TAPP961006
toulouse,Appartement,235000.0,2400.41,3507.0,31.55,0.0755,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/hektor-ESCUDERO-8341
toulouse,Appartement,139500.0,3032.61,3507.0,13.53,0.0598,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/adapt-immo-312628411
toulouse,Appartement,230000.0,2705.88,3507.0,22.84,0.067,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/ag311656-499419557
toulouse,Appartement,199000.0,2539.89,3507.0,27.58,0.0713,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/5pieces/iad-france-1953499
toulouse,Appartement,225000.0,2158.27,3507.0,38.46,0.084,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/immo-facile-59472784
toulouse,Appartement,115000.0,2948.72,3507.0,15.92,0.0615,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/iad-france-1942652
toulouse,Appartement,168500.0,2839.57,3507.0,19.03,0.0638,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/netty-company34235ort-appt-2475
toulouse,Maison,235000.0,2829.62,4077.0,30.6,0.0539,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/hektor-LANNES2020-46717
toulouse,Maison,299000.0,1993.33,4077.0,51.11,0.0765,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/6pieces/guy-hoquet-immo-facile-7397145
toulouse,Maison,380000.0,1617.02,4077.0,60.34,0.0942,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/7pieces/ag310791-493036235
toulouse,Appartement,88000.0,1951.22,3507.0,44.36,0.0929,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/century-21-202_1052_120761
toulouse,Appartement,115000.0,2053.57,3507.0,41.44,0.0882,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-1925359
toulouse,Appartement,116000.0,2109.09,3507.0,39.86,0.0859,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/citya-immobilier-20490-TAPP957296
toulouse,Appartement,129000.0,1357.89,3507.0,61.28,0.1334,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/netty-company35153qdg-appt-5561
toulouse,Appartement,85600.0,1746.94,3507.0,50.19,0.1037,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/adapt-immo-3117856268
toulouse,Appartement,229900.0,2873.75,3507.0,18.06,0.0631,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/adapt-immo-3117856876
toulouse,Maison,285000.0,3097.83,4077.0,24.02,0.0492,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/safti-1-1519187
toulouse,Maison,250000.0,1923.08,4077.0,52.83,0.0792,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/hektor-IntegralImmobilierCugnaux-29724
toulouse,Maison,275000.0,3313.25,4077.0,18.73,0.046,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/immo-facile-59118836
toulouse,Appartement,249000.0,2929.07,3507.0,16.48,0.0619,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/laforet-immo-facile-22702616
toulouse,Maison,379000.0,2960.94,4077.0,27.37,0.0515,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/6pieces/century-21-202_3360_1109
toulouse,Maison,368000.0,2991.87,4077.0,26.62,0.0509,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/5pieces/hektor-ACTIMO-440
toulouse,Appartement,176850.0,2408.74,3507.0,31.32,0.0752,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/nestenn-1-99939215797
toulouse,Appartement,184000.0,3075.89,3507.0,12.29,0.0589,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/hektor-ESCUDERO-8279
toulouse,Appartement,146000.0,2354.84,3507.0,32.85,0.0769,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/citya-immobilier-20490-TAPP939943
toulouse,Maison,279000.0,1835.53,4077.0,54.98,0.083,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/5pieces/immo-facile-58315651
toulouse,Appartement,140000.0,2438.6,3507.0,30.46,0.0743,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/netty-company41053fpu-appt-1922
toulouse,Maison,210000.0,2625.0,4077.0,35.61,0.0581,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/6pieces/iad-france-1794107
toulouse,Maison,224000.0,3200.0,4077.0,21.51,0.0476,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/3pieces/hektor-ACTIMO-434
